userid,age,gender,homezone,workzone
23001,47,0.0,,
23003,42,0.0,,
23004,37,1.0,,
23006,51,1.0,,
23007,21,0.0,,
23010,55,0.0,,
23011,52,0.0,,
23012,48,0.0,,
23019,45,0.0,,
23024,28,1.0,,
23025,47,0.0,,
23030,33,0.0,,
23031,56,0.0,,
23032,51,0.0,,
23038,52,0.0,,
23040,35,1.0,,
23049,32,1.0,,
23051,41,1.0,,
23052,48,0.0,,
23061,40,0.0,,
23062,61,0.0,,
23064,36,0.0,,
23073,34,0.0,,
23074,31,1.0,,
23077,22,1.0,,
23078,62,0.0,,
23079,40,0.0,,
23080,45,1.0,,
23084,34,1.0,,
23089,52,0.0,,
23094,60,0.0,,
23095,52,0.0,,
23096,48,0.0,,
23097,55,0.0,,
23105,51,0.0,,
23110,22,1.0,,
23115,34,0.0,,
23121,53,0.0,,
23122,45,0.0,,
23123,31,1.0,,
23126,57,1.0,,
23129,45,0.0,,
23130,25,1.0,,
23141,55,1.0,,
23144,55,0.0,,
23145,33,1.0,,
23147,35,1.0,,
23154,46,0.0,,
23156,48,1.0,,
23157,40,1.0,,
23159,21,1.0,,
23160,63,1.0,,
23162,35,0.0,,
23171,51,0.0,,
23174,46,0.0,,
23178,41,0.0,,
23179,58,0.0,,
23180,34,0.0,,
23184,36,0.0,,
23188,30,1.0,,
23191,58,0.0,,
23195,59,1.0,,
23199,26,1.0,,
23203,27,1.0,,
23208,62,0.0,,
23215,56,0.0,,
23216,26,0.0,,
23218,48,0.0,,
23221,44,0.0,,
23226,50,0.0,,
23233,57,0.0,,
23027,29,1.0,,
23037,49,0.0,,
23044,28,1.0,,
23056,60,0.0,,
23058,52,1.0,,
23067,20,1.0,,
23083,50,0.0,,
23085,35,1.0,,
23111,21,1.0,,
23152,64,1.0,,
23155,35,1.0,,
23166,48,1.0,,
23182,51,0.0,,
23222,40,1.0,,
23223,41,0.0,,
23017,40,0.0,,
23101,52,0.0,,
23116,22,0.0,,
23133,49,0.0,,
23153,50,1.0,,
23158,50,1.0,,
23187,62,0.0,,
23194,36,0.0,,
23229,59,0.0,,
23005,52,0.0,,
23053,20,1.0,,
23059,31,1.0,,
23065,66,0.0,,
23093,24,1.0,,
23108,46,0.0,,
23114,28,0.0,,
23131,28,1.0,,
23136,48,0.0,,
23148,62,0.0,,
23151,42,1.0,,
23170,47,1.0,,
23213,51,0.0,,
23225,59,0.0,,
23244,38,1.0,,
23020,26,1.0,,
23022,47,1.0,,
23048,60,0.0,,
23066,57,0.0,,
23081,57,0.0,,
23090,53,0.0,,
23100,30,1.0,,
23109,43,0.0,,
23125,31,1.0,,
23132,49,1.0,,
23142,36,1.0,,
23173,23,0.0,,
23181,39,0.0,,
23198,57,0.0,,
23207,26,1.0,,
23232,49,0.0,,
23234,46,1.0,,
23240,40,0.0,,
23023,45,0.0,,
23039,62,1.0,,
23046,50,0.0,,
23047,50,0.0,,
23117,28,1.0,,
23118,32,0.0,,
23140,46,1.0,,
23146,28,1.0,,
23165,33,0.0,,
23176,34,0.0,,
23235,67,0.0,,
23245,57,0.0,,
23002,46,0.0,,
23008,50,0.0,,
23009,50,1.0,,
23013,34,0.0,,
23014,48,0.0,,
23015,37,0.0,,
23016,44,0.0,,
23018,56,0.0,,
23021,31,1.0,,
23026,57,0.0,,
23028,37,1.0,,
23029,30,0.0,,
23033,48,0.0,,
23034,58,1.0,,
23035,44,0.0,,
23036,52,0.0,,
23041,61,1.0,,
23042,44,1.0,,
23043,25,1.0,,
23045,30,1.0,,
23050,46,0.0,,
23054,26,1.0,,
23055,30,0.0,,
23057,62,1.0,,
23060,35,0.0,,
23063,43,1.0,,
23068,43,1.0,,
23069,37,1.0,,
23070,53,0.0,,
23071,55,1.0,,
23072,60,0.0,,
23075,51,0.0,,
23076,47,0.0,,
23082,60,0.0,,
23086,49,0.0,,
23087,42,0.0,,
23088,34,1.0,,
23091,43,0.0,,
23092,30,0.0,,
23098,61,0.0,,
23099,64,0.0,,
23102,41,1.0,,
23103,60,0.0,,
23104,38,1.0,,
23106,18,0.0,,
23107,61,1.0,,
23112,38,0.0,,
23113,41,0.0,,
23119,53,0.0,,
23120,45,0.0,,
23124,32,1.0,,
23127,31,1.0,,
23128,32,1.0,,
23134,58,0.0,,
23135,35,0.0,,
23137,51,0.0,,
23138,31,1.0,,
23139,66,0.0,,
23143,53,0.0,,
23149,32,0.0,,
23150,51,0.0,,
23161,70,1.0,,
23163,50,1.0,,
23164,57,1.0,,
23167,42,1.0,,
23168,51,1.0,,
23169,31,1.0,,
23172,53,1.0,,
23175,46,0.0,,
23177,58,1.0,,
23183,55,0.0,,
23185,32,0.0,,
23186,35,1.0,,
23189,51,0.0,,
23190,40,1.0,,
23192,68,0.0,,
23193,48,1.0,,
23196,28,1.0,,
23197,46,0.0,,
23200,48,0.0,,
23201,34,0.0,,
23202,66,0.0,,
23204,69,0.0,,
23205,43,0.0,,
23206,57,1.0,,
23209,43,1.0,,
23210,58,0.0,,
23211,66,0.0,,
23212,52,0.0,,
23214,56,0.0,,
23217,37,0.0,,
23219,32,1.0,,
23220,55,1.0,,
23224,38,1.0,,
23227,55,0.0,,
23228,35,1.0,,
23230,54,0.0,,
23231,38,1.0,,
23236,31,1.0,,
23237,35,1.0,,
23238,29,1.0,,
23239,38,1.0,,
23241,61,1.0,,
23242,67,0.0,,
23243,22,1.0,,
23251,54,0.0,,
23252,66,0.0,,
23253,58,0.0,,
23254,26,0.0,,
23255,44,1.0,,
23256,46,0.0,,
23257,45,0.0,,
23258,40,0.0,,
23259,51,0.0,,
23260,33,1.0,,
23601,24,0.0,,
23602,39,1.0,,
23603,31,0.0,,
23604,38,1.0,,
23605,30,0.0,,
23606,54,1.0,,
23607,30,0.0,,
23608,22,1.0,,
23609,51,0.0,,
23610,50,0.0,,
23611,27,1.0,,
23612,28,0.0,,
23613,34,0.0,,
23614,48,0.0,,
23615,46,1.0,,
23616,27,1.0,,
23617,29,1.0,,
23618,62,0.0,,
23619,33,1.0,,
23620,26,1.0,,
23621,68,0.0,,
23622,41,0.0,,
23623,47,1.0,,
23624,67,0.0,,
23625,54,0.0,,
23626,38,1.0,,
23627,23,0.0,,
23628,31,1.0,,
23629,48,0.0,,
23630,63,1.0,,
23631,60,0.0,,
23632,47,1.0,,
23633,32,0.0,,
23634,36,1.0,,
23635,57,1.0,,
23636,42,0.0,,
23637,58,0.0,,
23638,27,1.0,,
23639,46,0.0,,
23640,43,1.0,,
23641,53,1.0,,
23642,33,1.0,,
23643,22,0.0,,
23644,38,1.0,,
23645,36,1.0,,
23646,50,0.0,,
23647,48,0.0,,
23648,44,1.0,,
23649,35,1.0,,
23650,43,0.0,,
23651,38,0.0,,
23652,49,0.0,,
23653,65,0.0,,
23654,57,0.0,,
23655,33,1.0,,
23656,41,0.0,,
23657,50,0.0,,
23658,54,1.0,,
23659,37,0.0,,
23660,33,1.0,,
23661,60,0.0,,
23662,37,0.0,,
23663,24,1.0,,
23664,49,0.0,,
23665,33,0.0,,
23666,49,0.0,,
23667,33,0.0,,
23668,63,0.0,,
23669,56,0.0,,
23670,49,0.0,,
23671,59,0.0,,
23672,35,0.0,,
23673,34,1.0,,
23674,38,1.0,,
23675,47,0.0,,
23676,30,1.0,,
23677,36,0.0,,
23678,42,0.0,,
23679,49,1.0,,
23680,40,0.0,,
23681,64,0.0,,
23682,51,0.0,,
23683,54,1.0,,
23684,56,0.0,,
23685,66,0.0,,
23686,29,0.0,,
23687,49,1.0,,
23688,51,1.0,,
23689,56,0.0,,
23690,37,1.0,,
23691,43,0.0,,
23692,46,0.0,,
23693,32,1.0,,
23694,38,0.0,,
23695,47,0.0,,
23696,42,1.0,,
23697,36,1.0,,
23698,40,0.0,,
23699,59,0.0,,
23700,39,1.0,,
23701,47,0.0,,
23702,25,0.0,,
23703,45,0.0,,
23704,24,0.0,,
23705,61,0.0,,
23706,25,1.0,,
23707,44,0.0,,
23708,34,1.0,,
23709,54,0.0,,
23710,34,0.0,,
23711,34,1.0,,
23712,33,0.0,,
23713,29,1.0,,
23714,42,0.0,,
23715,59,0.0,,
23716,51,1.0,,
23717,46,0.0,,
23718,56,1.0,,
23719,41,1.0,,
23720,47,1.0,,
23721,55,0.0,,
23722,32,0.0,,
23723,48,0.0,,
23724,60,0.0,,
23725,57,0.0,,
23726,31,0.0,,
23727,33,1.0,,
23728,35,1.0,,
23729,51,0.0,,
23730,29,1.0,,
23731,56,0.0,,
23732,63,0.0,,
23733,48,1.0,,
23734,26,0.0,,
23735,47,0.0,,
23736,50,0.0,,
23737,32,0.0,,
23738,53,1.0,,
23739,56,1.0,,
23740,57,0.0,,
23741,56,0.0,,
23742,33,1.0,,
23743,66,0.0,,
23744,25,1.0,,
23745,66,1.0,,
23746,35,1.0,,
23747,29,1.0,,
23748,26,0.0,,
23749,36,0.0,,
23750,39,1.0,,
23751,45,0.0,,
23752,30,1.0,,
23753,36,1.0,,
23754,47,0.0,,
23755,21,1.0,,
23756,64,0.0,,
23757,35,1.0,,
23758,57,1.0,,
23759,32,1.0,,
23760,52,0.0,,
23761,20,1.0,,
23762,42,1.0,,
23763,59,0.0,,
23764,53,0.0,,
23765,51,0.0,,
23766,36,0.0,,
23767,29,1.0,,
23768,32,1.0,,
23769,24,1.0,,
23770,44,0.0,,
23771,40,1.0,,
23772,53,1.0,,
23773,51,0.0,,
23774,34,1.0,,
23775,42,0.0,,
23776,37,0.0,,
23777,41,0.0,,
23778,27,1.0,,
23779,46,0.0,,
23780,38,0.0,,
23781,69,1.0,,
23782,58,0.0,,
23783,37,0.0,,
23784,54,0.0,,
23785,54,0.0,,
23786,21,1.0,,
23787,41,0.0,,
23788,50,0.0,,
23789,56,0.0,,
23790,34,1.0,,
23791,50,0.0,,
23792,48,0.0,,
23793,53,1.0,,
23794,48,1.0,,
23795,40,1.0,,
23796,30,1.0,,
23797,34,1.0,,
23798,49,0.0,,
23799,52,0.0,,
23800,48,1.0,,
23801,42,1.0,,
23802,30,0.0,,
23803,60,0.0,,
23804,38,1.0,,
23805,56,0.0,,
23806,58,0.0,,
23807,50,1.0,,
23808,54,1.0,,
23809,54,0.0,,
23810,57,0.0,,
23811,27,1.0,,
23812,46,0.0,,
23813,52,0.0,,
23814,65,0.0,,
23815,54,0.0,,
23816,49,1.0,,
23817,53,0.0,,
23818,19,1.0,,
23819,40,0.0,,
23820,60,0.0,,
23821,60,1.0,,
23822,41,1.0,,
23823,40,1.0,,
23824,47,0.0,,
23825,42,0.0,,
23826,52,0.0,,
23827,30,0.0,,
23828,40,1.0,,
23829,25,1.0,,
23830,33,0.0,,
23831,50,0.0,,
23832,28,1.0,,
23833,62,0.0,,
23834,56,1.0,,
23835,28,0.0,,
23836,63,0.0,,
23837,38,1.0,,
23838,44,0.0,,
23839,61,0.0,,
23840,64,1.0,,
23841,44,1.0,,
23842,27,1.0,,
23843,69,0.0,,
23844,46,0.0,,
23845,37,1.0,,
23846,64,1.0,,
23847,63,0.0,,
23848,42,0.0,,
23849,44,0.0,,
23850,41,0.0,,
23851,39,0.0,,
23852,65,0.0,,
23853,50,1.0,,
23854,26,1.0,,
23855,43,0.0,,
23856,49,0.0,,
23857,46,0.0,,
23858,61,0.0,,
23859,49,0.0,,
23860,59,1.0,,
23861,54,1.0,,
23862,34,1.0,,
23863,58,0.0,,
23864,45,1.0,,
23865,52,1.0,,
23866,27,1.0,,
23867,39,0.0,,
23868,44,1.0,,
23869,41,1.0,,
21401,50,,,
21402,39,,,
21403,45,,,
21404,34,,,
21405,38,,,
21406,31,,,
21407,49,,,
21408,32,,,
21409,51,,,
21410,50,,,
21411,41,,,
21412,40,,,
21413,57,,,
21414,42,,,
21415,46,,,
21416,51,,,
21417,50,,,
21418,45,,,
21419,52,,,
21420,52,,,
21421,53,,,
21422,47,,,
21423,38,,,
21424,54,,,
21425,50,,,
21426,41,,,
21427,54,,,
21428,48,,,
21429,53,,,
21430,50,,,
21431,49,,,
21432,33,,,
21433,50,,,
21434,49,,,
21435,44,,,
21436,50,,,
21437,50,,,
21438,35,,,
21439,48,,,
21440,47,,,
21441,36,,,
21442,37,,,
21443,39,,,
21444,53,,,
21445,30,,,
21446,44,,,
21447,52,,,
21448,48,,,
21449,48,,,
21450,29,,,
21451,42,,,
21452,50,,,
21453,42,,,
21454,45,,,
21455,39,,,
21456,44,,,
21457,49,,,
21458,38,,,
21459,30,,,
21460,47,,,
21461,42,,,
21462,35,,,
21463,43,,,
21464,47,,,
21465,48,,,
21466,34,,,
21467,38,,,
21468,49,,,
21469,54,,,
21470,50,,,
21471,41,,,
21472,50,,,
21473,33,,,
21474,54,,,
21475,48,,,
21476,48,,,
21477,34,,,
21478,47,,,
21479,53,,,
21480,38,,,
21481,37,,,
21482,39,,,
21483,46,,,
21484,45,,,
21485,41,,,
21486,47,,,
21487,29,,,
21488,49,,,
21489,53,,,
21490,51,,,
21491,50,,,
21492,37,,,
21493,53,,,
21494,26,,,
21495,45,,,
21496,33,,,
21497,51,,,
21498,25,,,
21499,42,,,
21500,30,,,
21501,43,,,
21502,48,,,
21503,35,,,
21504,30,,,
21505,45,,,
21506,28,,,
21507,48,,,
21508,43,,,
21509,45,,,
21510,36,,,
21511,37,,,
21512,30,,,
21513,49,,,
21514,50,,,
21515,53,,,
21516,44,,,
21517,38,,,
21518,45,,,
21519,44,,,
21520,45,,,
21521,44,,,
21522,26,,,
21523,41,,,
21524,32,,,
21525,53,,,
21526,34,,,
21527,50,,,
21528,50,,,
21529,36,,,
21530,54,,,
21531,31,,,
21532,46,,,
21533,43,,,
21534,46,,,
21535,40,,,
21536,38,,,
